epoch,accuracy,loss,val_accuracy,val_loss
0,0.3789016902446747,1.7230546474456787,0.4953271150588989,1.454017162322998
1,0.5363044738769531,1.3169454336166382,0.5427236557006836,1.3038901090621948
2,0.5910532474517822,1.162075400352478,0.5887850522994995,1.2045153379440308
3,0.6329494118690491,1.0445636510849,0.6188250780105591,1.1162368059158325
4,0.6624937653541565,0.9533453583717346,0.6261682510375977,1.0911685228347778
5,0.7078951597213745,0.8438152074813843,0.6461949348449707,1.0383284091949463
6,0.734768807888031,0.7844356894493103,0.6555407047271729,1.0049896240234375
7,0.7462860941886902,0.7325536608695984,0.708277702331543,0.8898321390151978
8,0.792188286781311,0.6110501885414124,0.7016021609306335,0.9213771820068359
9,0.8048740029335022,0.5703973174095154,0.722296416759491,0.8421093225479126
10,0.8345851898193359,0.4914712905883789,0.706942617893219,0.947873055934906
11,0.8337506055831909,0.49202895164489746,0.7483311295509338,0.8442279100418091
12,0.8621265292167664,0.3974057137966156,0.7550066709518433,0.7773078680038452
13,0.8691370487213135,0.3915920555591583,0.7476635575294495,0.8219513297080994
14,0.8819896578788757,0.34325018525123596,0.7510013580322266,0.8191486597061157
15,0.89934903383255,0.29906144738197327,0.7530040144920349,0.8155140280723572
16,0.9023535251617432,0.29170459508895874,0.7703604698181152,0.7642402052879333
17,0.9040226936340332,0.2852398753166199,0.7556742429733276,0.8268608450889587
18,0.9205474853515625,0.23229242861270905,0.7850467562675476,0.8021847605705261
19,0.9325655102729797,0.19776499271392822,0.7823765277862549,0.8037926554679871
20,0.9464196562767029,0.16692282259464264,0.7736982703208923,0.8723705410957336
21,0.950592577457428,0.15229381620883942,0.7797062993049622,0.8913699984550476
22,0.9362376928329468,0.18983912467956543,0.7610146999359131,0.8946245312690735
23,0.9328993558883667,0.20213943719863892,0.7650200128555298,0.8705918788909912
24,0.9459188580513,0.15958939492702484,0.7843791842460632,0.8446539640426636
25,0.9591053128242493,0.12499719113111496,0.7937249541282654,0.8791483640670776
26,0.9619429111480713,0.11840102076530457,0.7610146999359131,1.0527445077896118
27,0.9509263634681702,0.13897448778152466,0.7783711552619934,0.9191597700119019
28,0.9601068496704102,0.12101692706346512,0.7736982703208923,0.9860891103744507
29,0.9492571949958801,0.1484716832637787,0.7803738117218018,0.9015055298805237
30,0.9632782340049744,0.1154988631606102,0.7803738117218018,0.9572614431381226
31,0.9671173691749573,0.09740908443927765,0.7863818407058716,0.9749140739440918
32,0.9784677028656006,0.07114541530609131,0.8130841255187988,0.8525787591934204
33,0.9636120796203613,0.10423626750707626,0.7957276105880737,0.9477829933166504
34,0.9722917675971985,0.08635900914669037,0.7983978390693665,0.897284746170044
35,0.9732932448387146,0.08734296262264252,0.7857142686843872,0.9941875338554382
36,0.9741278290748596,0.08626095205545425,0.8010680675506592,0.9719231724739075
37,0.9821398854255676,0.05866438150405884,0.8237650394439697,0.8592541813850403
38,0.9851443767547607,0.048013608902692795,0.7970627546310425,0.9976963996887207
39,0.9667835235595703,0.09974861890077591,0.7903871536254883,0.9572041034698486
40,0.9579368829727173,0.12743288278579712,0.7950600981712341,0.8900701999664307
41,0.9764646887779236,0.07979819923639297,0.8084112405776978,0.8638594746589661
42,0.9913203120231628,0.036781664937734604,0.805741012096405,0.9497383236885071
43,0.9894842505455017,0.03534850478172302,0.8177570104598999,0.9034337997436523
44,0.9906526207923889,0.03342949599027634,0.8017356395721436,0.9539448022842407
45,0.9843097925186157,0.048882417380809784,0.7837116122245789,1.0775688886642456
46,0.9587714672088623,0.12644527852535248,0.7797062993049622,0.9978447556495667
47,0.9687865376472473,0.09671252220869064,0.8024032115936279,0.9044253826141357
48,0.9746286273002625,0.08448663353919983,0.8064085245132446,0.9155743718147278
49,0.9911534190177917,0.030041486024856567,0.822429895401001,0.8673399090766907
